discente,ano,turma,texto,respostas,data,tempo_inicial,tempo_final,duracao,compreensao,coeficiente_variacao,percentual_corretas,correta,grafia_incorreta,aceitavel,classe_correta,erro,branco
EST_001,9,B,Consumismo entre os jovens,"['como', 'de', 'atribuido', 'de', 'em', 'do', 'social', 'importantes', 'essagerado', 'extresse', 'das', 'são', 'jovem', 'propicio', 'ainda', 'Em', 'informar', 'por', 'deles', 'total', 'das', 'disso', 'o', 'é', 'administrativa', 'aprendam', 'economizar', 'importante', 'sub', 'para', 'exesso', 'para', 'o', 'É', 'consumo', 'totalmente', 'possivel']",29-02-2024,08:01,08:09,8.0,79.473,0.471,37.838,14,5,10,2,6,0
EST_004,9,A,Consumismo entre os jovens,"['entre', 'a', 'exercida', 'de', 'aos', 'do', 'social', 'graves', 'também', 'frustação', 'e', 'são', 'adolescentes', 'apegado', 'ainda', 'e', 'identificar', 'no', 'jovens', 'suficiente', 'de', 'prazo', 'o', 'é', 'financeira', 'aprendam', 'valorizar', 'importante', 'consumo', 'sobre', 'ato', 'para', 'o', 'é', 'consumo', 'algo', 'feito']",29-02-2024,08:02,08:11,9.0,80.184,0.414,54.054,20,3,4,7,3,0
EST_005,9,A,Consumismo entre os jovens,"['como', 'de', 'jeito', 'de', 'de', 'de', 'social', 'graves', 'exagerado', 'frustração', 'de', 'são', 'jovens', 'por', 'eles', 'então', 'juntar', 'pelo', 'deles', 'suficiente', 'das', 'prazo', 'o', 'é', 'financeira', 'consigam', 'guardar', 'importante', 'gasto', 'das', 'real', 'para', 'o', 'é', 'consumo', 'nada', 'jeito']",29-02-2024,08:02,08:10,8.0,77.577,0.472,43.243,16,2,9,5,5,0
EST_007,9,B,Consumismo entre os jovens,"['exemplo', 'as', 'feita', 'de', 'dos', 'de', 'social', 'graves', 'também', 'expectativas', 'são', 'são', 'jovens', 'colocados', 'ainda', 'e', 'descobrir', 'pelo', 'deles', 'suficiente', 'das', 'prazo', 'o', 'é', 'logo', 'venham', 'guardar', 'importante', 'sub', 'sobre', 'meia', 'para', 'o', 'É', 'dinheiro', 'muito', 'usado']",29-02-2024,08:01,08:14,13.0,77.38,0.472,40.541,15,3,9,5,5,0
EST_025,9,B,Consumismo entre os jovens,"['tipo', 'de', 'feito', 'de', 'nos', 'no', 'forte', 'prejudiciais', 'exagerado', 'intriga', 'nas', 'são', 'jovens', 'entregados', 'eles', 'e', 'juntar', 'ao', 'deles', 'suficiente', 'e', 'tempo', 'o', 'é', 'já', 'consiga', 'guardar', 'fundamental', 'consumo', 'sobre', 'uso', 'para', 'o', 'É', 'consumo', 'tão', 'claro']",29-02-2024,08:01,08:29,28.0,73.798,0.542,35.135,13,2,11,4,7,0
EST_027,9,A,Consumismo entre os jovens,"['como', 'lojas', 'estetica', 'extremo', 'se', 'se', 'social', 'piores', 'ecessivo', 'frustração', 'e', 'são', 'jovens', 'conduzidos', 'eles', 'e', 'encaixar', 'por', 'deles', 'suficiente', 'das', 'prazo', 'extremo', 'é', 'financeira', 'aprendam', 'manusear', 'importante', 'gasto', 'sobre', 'produto', 'para', 'pessoas', 'é', 'consumo', 'algo', 'consumo']",29-02-2024,08:02,08:17,15.0,70.905,0.624,48.649,18,2,6,1,10,0
EST_030,9,B,Consumismo entre os jovens,"['com', 'de', 'causada', 'do', 'de', 'de', 'e', 'maior', 'que', '-', 'de', 'são', 'jovens', 'ir', 'os', 'e', 'e', 'no', 'não', 'e', 'de', 'prazo', 'o', 'é', 'e', 'isso', 'consumo', 'isso', 'auto', 'sobre', 'um', 'consumo', 'o', 'e', 'consumo', 'totalmente', 'moderado']",29-02-2024,08:01,08:13,12.0,51.745,0.924,35.135,13,1,4,3,15,1
EST_032,9,B,Consumismo entre os jovens,"['pois', 'das', 'causada', 'de', 'nos', 'dos', 'social', 'ruins', 'excessivo', 'desperdício', 'das', 'são', 'jovens', 'ajudando', 'eles', 'e', 'incluir', 'no', 'adolescentes', 'suficiente', 'das', 'tempo', 'o', 'é', 'social', 'consigam', 'juntar', 'agradável', 'consumo', 'para', 'erro', 'para', 'o', 'É', 'consumo', 'totalmente', 'pouco']",29-02-2024,08:01,08:25,24.0,76.012,0.5,35.135,13,1,13,4,6,0
EST_033,9,B,Consumismo entre os jovens,"['como', 'a', 'dada', 'de', 'de', 'de', 'social', 'ruina', 'grande', 'raiva', 'das', 'são', 'adolecentes', 'devido', 'muitos', 'e', 'concetar', 'no', 'deles', 'suficiente', 'de', 'prazo', 'o', 'é', 'adequada', 'possamos', 'ganhar', 'importante', 'uso', 'deles', 'um', 'para', 'nosso', 'é', 'consumo', 'tão', 'usado']",29-02-2024,08:01,08:10,9.0,66.528,0.624,40.541,15,1,6,7,8,0
EST_037,9,A,Consumismo entre os jovens,"['porque', 'muitas', 'social', 'de', 'de', 'de', 'social', 'piores', 'social', 'desigualdade', 'são', 'são', 'jovens', 'pelo', 'eles', 'eles', 'legal', 'pelo', 'jovens', 'porque', 'das', 'vida', 'o', 'é', 'familia', 'posão', 'economiza', 'importante', 'desenvolvimento', 'para', 'dia', 'de', 'o', 'é', 'consumo', 'muito', 'usando']",29-02-2024,08:02,08:15,13.0,53.506,0.859,27.027,10,1,7,5,14,0
